objectid,title,filename,format,creator,date,datecreated,description,subject,location,latitude,longitude,source,type,rights,creativecommons,citation,archivedpage
eugene_eugenepioneercemetery_1977,Eugene Pioneer Cemetery,eugene_eugenepioneercemetery_1977.jpg,image/jpeg,Unknown,1872,1872/1930; 1977,Image of a tall white grave in the Eugene Pioneer Cemetery.,cemeteries; public (relating to property),Eugene; Oregon; Lane County,44.041447,-123.076002,"<a href=""https://oregondigital.org/concern/images/df67qr86n""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"Eugene Pioneer Cemetery (Eugene, Oregon), Unknown. 1872/1930; 1977, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67qr86n.",https://web.archive.org/web/20230518181941/https://oregondigital.org/concern/images/df67qr86n
eugene_firstcongregationalchurch_1925,First Congregational Church,eugene_firstcongregationalchurch_1925.jpg,image/jpeg,"Drew, Earl M. and Walter Ross Baumes Willcox",1925,1925,"Image of the Eugene First Congregational Church, which later became a mortuary, then an art house theater.",art house cinemas; churches; private (relating to property),Eugene; Oregon; Lane County,44.045367,-123.085618,"<a href=""https://oregondigital.org/concern/images/df67kw28w?locale=en""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright - Educational Use Permitted,,"First Congregational Church (Eugene, Oregon), Walter Ross Baumes Willcox and Earl M. Drew. 1925, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67kw28w?locale=en.",https://web.archive.org/web/20230518221749/https://oregondigital.org/concern/images/df67kw28w
florence_hecetaheadlighthouse_1957,Heceta Lighthouse,florence_hecetaheadlighthouse_1957.jpg,image/jpeg,Unknown,1957,1957,Image of the south-facing side of the Heceta Head Lighthouse.,lighthouses; hotels; historic houses; private (relating to property),Florence; Oregon; Lane County,44.137364,-124.128132,"<a href=""https://oregondigital.org/concern/images/df696g73m""target=""_blank"">Oregon Institute of Marine Biology Slides and Photographs - University of Oregon</a>",Image; Still Image,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"OIMB slide 5272, Unknown. 1957, University of Oregon, Eugene, Oregon. Oregon Digital, Oregon Institute of Marine Biology Slides and Photographs, https://oregondigital.org/concern/images/df696g73m.",https://web.archive.org/web/20230518181652/https://oregondigital.org/concern/images/df696g73m
seaside_tillamookrocklighthouse_1881,Tillamook Lighthouse,seaside_tillamookrocklighthouse_1881.jpg,image/jpeg,Unknown,1881,1881,Image of the north-facing side of the Tillamook Lighthouse.,lighthouses; private (relating to property),Seaside; Oregon; Clatsop County,45.937236,-124.018868,"<a href=""https://oregondigital.org/concern/images/df67n2202?locale=en""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright - Educational Use Permitted,,"Tillamook Rock Lighthouse (Seaside, Oregon), Unknown. 1881, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67n2202?locale=eU",https://web.archive.org/web/20230518183707/https://oregondigital.org/concern/images/df67n2202
terrebonne_crookedriverbridge_1880,Crooked River Bridge,terrebonne_crookedriverbridge_1880.jpg,image/jpeg,Angelus Studio,1880,1880/1949,Image of the highway bridge crossing Crooked River and Gorge. Railroad bridge in distance.,bridges; highways; public (relating to property),Terrebonne; Oregon; Deschutes County,44.392590,-121.194007,"<a href=""https://oregondigital.org/concern/images/df7350921""target=""_blank"">Angelus Studio photographs, 1880s-1940s - University of Oregon</a>",Image; Still Image,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"PH037_b152_26886 Angelus Studio Photographs, Angelus Studio. 1880/1949, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df7350921",https://web.archive.org/web/20230518183506/https://oregondigital.org/concern/images/df7350921
cavejunction_oregoncavesghostchamber_1889,Oregon Caves,cavejunction_oregoncavesghostchamber_1889.jpg,image/jpeg,"Singley, B.L.",1899,c. 1899,"Image of a man holding a lantern in the Ghost Chamber, located within the Oregon Caves system. The photograph was printed on a card mount, 9 x 18 cm (stereograph format).",caves; public (relating to property),Oregon Caves National Monument; Josephine County; Oregon,42.098120,-123.407456,"<a href ""https://www.loc.gov/item/2018651791/""target=""_blank"">Library of Congress Online Catalog - Stereograph Cards</a>",Image; Still Image,No Copyright - Public Domain,,"Great Oregon caves, the Ghost chamber, Oregon, U.S.A., near the S.P.R.R. Singley, B.L. c. 1899., Library of Congress, Prints and Photographs Division, https://lccn.loc.gov/2007682466.",https://web.archive.org/web/20230517224100/https://www.loc.gov/item/2007682466/
portland_pittockmansion_19700516,Pittock Mansion,portland_pittockmansion_19700516.jpg,image/jpeg,"Foulkes, Edward T.",1970,1970,"Image of the front (northwestern) view of Pittock Mansion, located in the hills of West Portland, once a residence and now a museum.",historic houses; public (relating to property),Portland; Multnomah County; Oregon,45.525161,-122.716264,"<a href ""https://oregondigital.org/concern/images/df67n2776""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"Pittock Mansion (Portland, Oregon), Foulkes, Edward T. 1970, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67n2776?locale=en.",https://web.archive.org/web/20230519020435/https://oregondigital.org/concern/images/df67n2776
hammond_fortstevens_1918,Fort Stevens,hammond_fortstevens_1918.jpg,image/jpeg,"Gilman, Davis C.",1973,1973,"Image of a concrete battery located within Fort Stevens State Park in Hammond, along the Oregon Coast.",forts; public (relating to property),Warrenton; Clatsop County; Oregon Coast; Oregon,46.192547,-123.975336,"<a href ""https://oregondigital.org/concern/images/df67gt122""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"Fort Stevens, Gilman, Davis C. 1918; 1979, University of Oregon, Eugene. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67hp556?locale=en.",https://web.archive.org/web/20230517232049/https://oregondigital.org/concern/images/df67hp556
salem_asahelbushhouse_1878,Asahel Bush,salem_asahelbushhouse_1878.jpg,image/jpeg,"Boothby, Wilbur F.",1878,1878,"Image of a house surrounded by trees, sitting atop a hill in Salem, once a residence and now a museum.",historic houses; public (relating to property),Salem; Marion County; Oregon,44.931426,-123.039263,"<a href ""https://oregondigital.org/concern/images/df67hp556""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"Asahel Bush House, Boothby, Wilbur F. 1878, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67gt122?locale=en.",https://web.archive.org/web/20230517231751/https://oregondigital.org/concern/images/df67gt122
waldport_highway101_1967,Hwy 101,waldport_highway101_1967.jpg,image/jpeg,Unknown,1967,1967,View from top of Cape Perpetua of Visitor Center and Highway 101.,public (relating to property); highways,Oregon Coast; Lincoln County; Oregon,44.281021,-124.109498,"<a href=""https://oregondigital.org/concern/images/5t34sj71x""target=""_blank"">The Siuslaw National Forest Collection - Oregon State University</a>",Image; Still Image,In Copyright,,"View from top of Cape of Visitor Center and Highway 101, Unknown. 1967, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/5t34sj71x",https://web.archive.org/web/20230521202536/https://oregondigital.org/concern/images/5t34sj71x
portland_bensonhotel_1880,Benson Hotel,portland_bensonhotel_1880.jpg,image/jpeg,Angelus Studio,1880,1880/1949,"View of Benson Hotel from Broadway and Oak, Portland.",public (relating to property); hotels,Portland; Multnomah County; Oregon,45.521494,-122.678693,"<a href=""https://oregondigital.org/concern/images/df71g647q?locale=en""target=""_blank"">Angelus Studio photographs, 1880s-1940s - University of Oregon</a>",Image; Still Image,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"Benson Hotel, Portland, OR., Angelus Studio. 1880/1949, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df71g647q?locale=en",https://web.archive.org/web/20230521202818/https://oregondigital.org/concern/images/df71g647q?locale=en
newport_yaquinabaylighthouse_2015,Yaquina Lighthouse,newport_yaquinabaylighthouse_2015.jpg,image/jpeg,Unknown,1900,1900,Exterior view of Yaquina Head lighthouse tower.,public (relating to property); lighthouses,Newport; Lincoln County; Oregon,44.676752,-124.079568,"<a href=""https://oregondigital.org/concern/images/df65vx57n""target=""_blank"">Lincoln County Historical Society Archive - Oregon State University</a>",Image; Still Image,In Copyright,,"Yaquina Head Lighthouse, Newport OR, Unknown. 1900, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df65vx57n",https://web.archive.org/web/20230521203039/https://oregondigital.org/concern/images/df65vx57n
salem_elsinoretheatre_1926,Elsinore Theater,salem_elsinoretheatre_1926.jpg,image/jpeg,"Lawrence, Holford; Lawrence, Ellis Fuller; Holford, William",1926,1926,View of the front of Elsinor Theater from the street.,public (relating to property); theater,Salem; Marion County; Oregon,44.938919,-123.037369,"<a href=""https://oregondigital.org/concern/images/df67j121m?locale=en""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright - Educational Use Permitted,,"Elsinore Theatre (Salem, Oregon), Holdford et al. 1926, Univestiry of Oregon, Eugene, Oregon. Oregon Digital, ""Building Oregon,"" https://oregondigital.org/concern/images/df67j121m?locale=en",https://web.archive.org/web/20230521203745/https://oregondigital.org/concern/images/df67j121m?locale=en
salem_thomaskaywoolenmill_1898,Woolen Mill,salem_thomaskaywoolenmill_1898.jpg,image/jpeg,"Pugh, Walter D.",1898,1898,Exterior view of Woolen Mill,public (relating to property); mills,Salem; Marion County; Oregon,44.934955,-123.027134,"<a href=""https://oregondigital.org/concern/images/df67gx970""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,Creative Commons BY-NC-ND Attribution-NonCommercial-NoDerivs 4.0 International,"Thomas Kay Woolen Mill (Salem, Oregon), Pugh, Walter D. 1898, University or Oregon, Eugene. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67gx970",https://web.archive.org/web/20230521205156/https://oregondigital.org/concern/images/df67gx970
wolfcreek_wolfcreektavern_1927,Wolf Creek Tavern,wolfcreek_wolfcreektavern_1927.jpg,image/jpeg,"Patterson, Frank",1927,1927/1937,"Image of Wolf Creek Tavern, built in 1857.",taverns; private (relating to property),Wolf Creek; Josephine County; Oregon,42.695123,-123.396038,"<a href=""https://oregondigital.org/concern/images/df66v924h""target=""_blank"">Frank Patterson Photographs - Oregon State University</a>",Image; Still Image,In Copyright,,"Wolf Creek Tavern, Patterson, Frank. 1927/1937, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df66v924h",https://web.archive.org/web/20230523043702/https://oregondigital.org/concern/images/df66v924h
troutdale_multnomahfalls_1915,Multnomah Falls,troutdale_multnomahfalls_1915.jpg,image/jpeg,"Patton Post Card Co. (Salem, Or.)",1915,1915,Image of Multnomah Falls from below.,waterfalls; public (relating to property),Troutdale; Multnomah County; Oregon,45.575855,-122.115268,"<a href=""https://oregondigital.org/concern/images/df66tx41q?locale=en""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,No Copyright - Public Domain,,"Multnomah Falls, Patton Post Card Co. (Salem, Or.). 1915, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df66tx41q?locale=en",https://web.archive.org/web/20230523043524/https://oregondigital.org/concern/images/df66tx41q?locale=en
portland_lonefircemetery_1885,Lone Fir Cemetery,portland_lonefircemetery_1885.jpg,image/jpeg,"Johnson, Ian P.",1855,1855/1949,"Image of large tombstone in Lone Fir Cemetery, Portland, Oregon",cemeteries; public (relating to property),Portland; Multnomah County; Oregon,45.518151,-122.642152,"<a href=""https://oregondigital.org/concern/images/df67r535t""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright - Educational Use Permitted,,"Lone Fir Cemetery (Portland, Oregon), Johnson, Ian P. 1855/1901, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67r535t",https://web.archive.org/web/20230523043825/https://oregondigital.org/concern/images/df67r535t
portland_hollywoodtheatre_1880,Hollywood Theater,portland_hollywoodtheatre_1880.jpg,image/jpeg,Angelus Studio,1880,1880/1949,"Image of Hollywood Theatre on Sandy Blvd., Portland. Ornate façade in tower above entrance.",art house cinemas; private (relating to property),Portland; Multnomah County; Oregon,45.535584,-122.620721,"<a href=""https://oregondigital.org/concern/images/df7389647?locale=en""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,,"PH037_b180_Z01802, Angelus Studio. 1880/1949, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df7389647?locale=en",https://web.archive.org/web/20230523043629/https://oregondigital.org/concern/images/df7389647?locale=en
portland_merchanthotel_19730519,Merchants Hotel,portland_merchanthotel_19730519.jpg,image/jpeg,"Ross, Marion Dean",1973,1973,"Image of Merchants hotel façade in downtown Portland, Oregon.",hotels; private (relating to property),Portland; Multnomah County; Oregon,45.524409,-122.673299,"<a href=""https://oregondigital.org/concern/images/df67gh40c""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,,"Merchants Hotel (Portland, Oregon), Ross, Marion Dean. 19730519, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67gh40c",https://web.archive.org/web/20230523044043/https://oregondigital.org/concern/images/df67gh40c
portland_kellsrestaurant_1889,Kell's Restaurant,portland_kellsrestaurant_1889.jpg,image/jpeg,"Ross, Marion Dean",1889,1889,"Image of Kell's Restaurant in downtown Portland, Oregon.",restaurants; private (relating to property),Portland; Multnomah County; Oregon,45.521697,-122.672432,"<a href=""https://oregondigital.org/concern/images/df67mb55n""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,,"Kells Restaurant (Portland, Oregon), Ross, Marion Dean. 1889, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67mb55n",https://web.archive.org/web/20230523044152/https://oregondigital.org/concern/images/df67mb55n
bakercity_geisergrandhotel_1889,Geiser Hotel,bakercity_geisergrandhotel_1889.jpg,image/jpeg,"Millwain, Alexander W.",1889,1889,"Image of Geiser Grand Hotel in Baker City, Oregon.",hotels; private (relating to property),Baker City; Baker County; Oregon,44.776966,-117.829316,"<a href=""https://oregondigital.org/concern/images/df67gj94w""target=""_blank"">Building Oregon - University of Oregon</a>",Image; Still Image,In Copyright,,"Geiser Grand Hotel, Millwain, Alexander W. 1889, University of Oregon, Eugene, Oregon. Oregon Digital, Building Oregon, https://oregondigital.org/concern/images/df67gj94w",https://web.archive.org/web/20230523044333/https://oregondigital.org/concern/images/df67gj94w